crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words
1,6/6/2018 20:39,6/6/2018,-1.2631315,36.7642835,1,0,0,0,0
2,6/30/2018 13:36,6/30/2018,-1.295135,36.821932,1,0,0,0,0
3,5/26/2018 7:42,5/26/2018,-1.3718555,36.9204565,1,1,0,0,0
4,5/26/2018 7:52,5/26/2018,-1.209945,36.83323,1,0,0,0,0
5,5/26/2018 15:42,5/26/2018,-1.215468,36.850638,1,0,0,0,0
6,5/26/2018 18:21,5/26/2018,-1.2451285,36.8673795,1,0,0,0,0
7,5/26/2018 20:15,5/26/2018,-1.389695,36.938026,1,0,0,0,0
8,5/27/2018 14:03,5/27/2018,-1.234781,36.8728705,1,0,0,0,0
9,5/27/2018 14:04,5/27/2018,-1.258537,36.91659,1,1,0,0,1
10,5/27/2018 14:49,5/27/2018,-1.067963,37.051213,1,0,0,1,0
11,5/27/2018 17:00,5/27/2018,-1.260797,36.712915,1,0,0,0,1
12,5/28/2018 6:20,5/28/2018,-1.216927,36.8941755,1,0,0,0,0
13,5/28/2018 6:55,5/28/2018,-1.220387,36.89118,1,0,0,0,0
14,5/28/2018 19:42,5/28/2018,-1.396656,36.941388,1,0,0,1,0
15,5/29/2018 16:33,5/29/2018,-1.3195655,36.8385065,1,0,0,0,0
16,5/29/2018 16:44,5/29/2018,-1.304899,36.82478,1,0,0,0,0
17,5/29/2018 17:18,5/29/2018,-1.249479,36.846988,1,0,0,0,0
18,5/29/2018 18:32,5/29/2018,-1.506574,37.095385,1,0,0,0,0
19,5/30/2018 6:35,5/30/2018,-1.25021,36.820718,1,0,0,1,0
20,5/30/2018 10:22,5/30/2018,-1.225951,36.839095,1,0,0,0,0
21,5/30/2018 17:29,5/30/2018,-1.274802,36.812039,1,0,0,0,0
22,5/30/2018 19:07,5/30/2018,-1.262799,36.879031,1,0,0,0,0
23,5/31/2018 8:51,5/31/2018,-1.2642666,36.74699,1,0,0,0,0
24,5/31/2018 13:30,5/31/2018,-1.052522,37.094317,1,1,0,0,1
25,5/31/2018 17:32,5/31/2018,-1.292827,36.7745175,1,0,0,0,0
26,5/31/2018 17:42,5/31/2018,-1.298367,36.802168,1,0,0,0,0
27,5/31/2018 20:02,5/31/2018,-1.300398,36.773832,1,0,0,0,0
28,5/31/2018 20:20,5/31/2018,-1.124653,37.003037,1,0,0,0,0
29,5/31/2018 22:46,5/31/2018,-1.261998,36.84,1,0,0,0,0
30,5/31/2018 22:57,5/31/2018,-1.256093,36.855982,1,0,0,0,0
31,6/1/2018 6:50,6/1/2018,-1.3632275,36.7648435,1,0,0,0,0
32,6/1/2018 9:33,6/1/2018,-0.983177,36.632307,1,0,0,0,0
33,6/1/2018 11:47,6/1/2018,-1.296993,36.875598,1,0,0,0,0
34,6/1/2018 11:59,6/1/2018,-0.940662,36.620393,1,0,0,0,0
35,6/1/2018 12:01,6/1/2018,-0.804494,36.531555,1,0,0,0,0
36,6/1/2018 16:13,6/1/2018,-1.2881165,36.818796,1,0,1,0,0
37,6/1/2018 18:39,6/1/2018,-1.296362,36.883496,1,0,0,0,0
38,6/2/2018 7:46,6/2/2018,-1.2666115,36.8344265,1,0,0,1,0
39,6/2/2018 12:37,6/2/2018,-1.275757,36.8228905,1,0,0,0,0
40,6/2/2018 16:45,6/2/2018,0.491426,35.27037,1,0,0,0,0
41,6/2/2018 19:14,6/2/2018,-1.207233,36.911888,1,0,0,0,0
42,6/2/2018 19:51,6/2/2018,-1.213711,36.899673,1,0,0,0,0
43,6/2/2018 21:04,6/2/2018,-1.220088,36.892,1,0,0,0,0
44,6/3/2018 0:25,6/3/2018,-1.289163,36.811719,1,0,0,0,0
45,6/3/2018 6:29,6/3/2018,-1.3442335,36.666157,1,0,0,1,0
46,6/3/2018 14:13,6/3/2018,-1.288932,36.839907,1,0,0,0,0
47,6/3/2018 18:14,6/3/2018,-1.2693285,36.805776,1,0,0,0,0
48,6/3/2018 20:14,6/3/2018,-1.364719,36.911405,1,0,0,0,0
49,6/3/2018 22:15,6/3/2018,-1.097772,36.627076,1,0,0,0,0
50,6/4/2018 1:54,6/4/2018,-1.355691,36.657324,1,0,0,0,0
51,6/4/2018 1:55,6/4/2018,-1.217267,36.8929095,1,0,0,0,0
52,6/4/2018 5:45,6/4/2018,-1.396243,36.745543,1,0,0,0,0
53,6/4/2018 6:54,6/4/2018,-1.29374,36.795907,1,0,0,0,1
54,6/4/2018 11:32,6/4/2018,-1.2612255,36.8739765,1,0,0,1,0
55,6/4/2018 12:23,6/4/2018,-1.148514,36.961087,1,0,0,0,0
56,6/4/2018 14:29,6/4/2018,-1.278919,36.784299,1,0,0,0,0
57,6/4/2018 15:23,6/4/2018,-1.12422,37.003608,1,0,0,0,0
58,6/4/2018 17:45,6/4/2018,-1.266667,36.834423,1,0,0,0,0
59,6/5/2018 7:36,6/5/2018,-1.324801,36.8481885,1,0,0,0,0
60,6/5/2018 11:50,6/5/2018,-1.153175,36.961002,1,0,0,0,0
61,6/5/2018 15:26,6/5/2018,-1.3249405,36.848489,1,0,0,0,0
62,6/5/2018 17:06,6/5/2018,-1.280817,36.816967,1,0,0,0,0
63,6/5/2018 18:59,6/5/2018,-1.297165,36.875237,1,0,0,0,0
64,6/5/2018 19:13,6/5/2018,-1.210473,36.7894545,1,0,0,0,0
65,6/5/2018 20:23,6/5/2018,-1.245244,36.7695612,1,0,0,0,0
66,6/5/2018 21:26,6/5/2018,-1.287058,36.836512,1,0,0,0,0
67,6/5/2018 23:10,6/5/2018,-1.181702,36.9373895,1,1,0,0,0
68,6/6/2018 3:33,6/6/2018,-1.2631,36.979394,1,0,0,0,0
69,6/6/2018 7:08,6/6/2018,-1.2198175,36.8911125,1,0,0,0,0
70,6/6/2018 9:17,6/6/2018,-1.264737,36.802079,1,0,0,1,0
71,6/6/2018 21:13,6/6/2018,-1.406897,36.947256,1,0,0,0,0
72,6/6/2018 21:58,6/6/2018,-1.411171,36.951006,1,0,0,0,0
73,6/7/2018 5:43,6/7/2018,-1.285105,36.883902,1,0,0,0,0
74,6/7/2018 5:55,6/7/2018,-1.203801,36.916523,1,0,0,0,0
75,6/7/2018 6:31,6/7/2018,-1.260699,36.716544,1,0,0,0,0
76,6/7/2018 6:50,6/7/2018,-1.278127,36.8214565,1,0,0,0,0
77,6/7/2018 8:12,6/7/2018,-1.364719,36.911405,1,0,0,0,0
78,6/7/2018 8:15,6/7/2018,-1.3339635,36.779085,1,0,0,0,0
79,6/7/2018 14:46,6/7/2018,-1.300187,36.7743565,1,0,0,0,0
80,6/7/2018 14:48,6/7/2018,-1.227037,36.882905,1,0,0,0,0
81,6/7/2018 16:29,6/7/2018,-1.372598,36.920491,1,0,0,0,0
82,6/7/2018 18:52,6/7/2018,-1.190474,36.739465,1,0,0,0,0
83,6/7/2018 21:28,6/7/2018,-1.136438,36.97028,1,0,0,0,0
84,6/8/2018 5:17,6/8/2018,-1.525206,37.121076,1,0,0,0,0
85,6/8/2018 6:41,6/8/2018,-1.343014,36.765581,1,0,0,0,0
86,6/8/2018 7:06,6/8/2018,-1.332986,36.80054,1,0,0,0,0
87,6/8/2018 7:28,6/8/2018,-1.039962,37.068619,1,0,0,1,0
88,6/8/2018 7:29,6/8/2018,-1.317394,36.812597,1,0,0,0,0
89,6/8/2018 7:44,6/8/2018,-1.328397,36.800541,1,0,0,0,0
90,6/8/2018 10:43,6/8/2018,-1.260901,36.71664,1,0,0,0,0
91,6/8/2018 11:28,6/8/2018,-1.272665,36.808979,1,0,0,0,0
92,6/8/2018 13:05,6/8/2018,-1.27496,36.818027,1,0,0,0,0
93,6/8/2018 15:30,6/8/2018,-1.492577,37.055126,1,0,0,0,0
94,6/9/2018 8:12,6/9/2018,-1.299726,36.824457,1,0,0,1,0
95,6/9/2018 8:38,6/9/2018,-1.305172,36.754582,1,0,0,0,0
96,6/9/2018 10:54,6/9/2018,-1.292437,36.805122,1,0,0,0,1
97,6/9/2018 11:56,6/9/2018,-1.252175,36.959263,1,0,0,0,0
98,6/9/2018 19:59,6/9/2018,-1.274917,36.823408,1,0,0,0,0
99,6/9/2018 20:15,6/9/2018,-1.307371,36.889824,1,0,1,0,0
100,6/9/2018 20:36,6/9/2018,-1.3228495,36.8990795,1,0,0,0,0
101,6/9/2018 22:34,6/9/2018,-1.259203,36.842383,1,0,0,0,0
102,6/10/2018 2:34,6/10/2018,-1.1711185,36.9725295,1,1,0,0,0
103,6/10/2018 12:21,6/10/2018,-1.300044,36.7872145,1,0,1,0,0
104,6/10/2018 18:02,6/10/2018,-1.206032,36.914291,1,0,0,0,0
105,6/10/2018 18:10,6/10/2018,-1.210347,36.90942,1,0,0,0,0
106,6/10/2018 18:24,6/10/2018,-1.215691,36.895632,1,0,0,0,0
107,6/10/2018 18:59,6/10/2018,-1.131297,36.982169,1,0,0,0,0
108,6/11/2018 9:12,6/11/2018,-1.259459,36.844829,1,0,1,0,0
109,6/11/2018 14:35,6/11/2018,-1.2967465,36.8760185,1,0,0,1,1
110,6/11/2018 18:48,6/11/2018,-1.259999,36.895915,1,0,0,0,0
111,6/12/2018 7:35,6/12/2018,-1.263123,36.838843,1,0,0,0,0
112,6/12/2018 8:06,6/12/2018,-1.299826,36.824192,1,0,0,0,0
113,6/12/2018 14:38,6/12/2018,-1.297632,36.869754,1,0,0,0,1
114,6/12/2018 18:47,6/12/2018,-1.2515222,36.93756,1,0,0,0,0
115,6/12/2018 19:24,6/12/2018,-1.292918,36.820308,1,0,0,0,0
116,6/12/2018 20:43,6/12/2018,-1.177645,36.915433,1,0,0,0,0
117,6/13/2018 6:06,6/13/2018,-1.285249,36.819619,1,0,0,0,0
118,6/13/2018 6:32,6/13/2018,-1.3291645,36.870969,1,0,0,1,0
119,6/13/2018 6:36,6/13/2018,-1.20004,36.920365,1,0,0,0,0
120,6/13/2018 15:44,6/13/2018,-1.32681,36.852673,1,0,0,0,1
121,6/13/2018 16:47,6/13/2018,-1.1217925,37.0067835,1,0,0,0,0
