crash_id,crash_datetime,crash_date,latitude,longitude,n_crash_reports,contains_fatality_words,contains_pedestrian_words,contains_matatu_words,contains_motorcycle_words,hour,month,year,day_of_week,severity,road_user_type
1,2018-06-06 20:39:00,2018-06-06,-1.2631315,36.7642835,1,0,0,0,0,20,6,2018,Wednesday,Non-Fatal,Other
2,2018-06-30 13:36:00,2018-06-30,-1.295135,36.821932,1,0,0,0,0,13,6,2018,Saturday,Non-Fatal,Other
3,2018-05-26 07:42:00,2018-05-26,-1.3718555,36.9204565,1,1,0,0,0,7,5,2018,Saturday,Fatal,Other
4,2018-05-26 07:52:00,2018-05-26,-1.209945,36.83323,1,0,0,0,0,7,5,2018,Saturday,Non-Fatal,Other
5,2018-05-26 15:42:00,2018-05-26,-1.215468,36.850638,1,0,0,0,0,15,5,2018,Saturday,Non-Fatal,Other
6,2018-05-26 18:21:00,2018-05-26,-1.2451285,36.8673795,1,0,0,0,0,18,5,2018,Saturday,Non-Fatal,Other
7,2018-05-26 20:15:00,2018-05-26,-1.389695,36.938026,1,0,0,0,0,20,5,2018,Saturday,Non-Fatal,Other
8,2018-05-27 14:03:00,2018-05-27,-1.234781,36.8728705,1,0,0,0,0,14,5,2018,Sunday,Non-Fatal,Other
9,2018-05-27 14:04:00,2018-05-27,-1.258537,36.91659,1,1,0,0,1,14,5,2018,Sunday,Fatal,Motorcycle
10,2018-05-27 14:49:00,2018-05-27,-1.067963,37.051213,1,0,0,1,0,14,5,2018,Sunday,Non-Fatal,Matatu
11,2018-05-27 17:00:00,2018-05-27,-1.260797,36.712915,1,0,0,0,1,17,5,2018,Sunday,Non-Fatal,Motorcycle
12,2018-05-28 06:20:00,2018-05-28,-1.216927,36.8941755,1,0,0,0,0,6,5,2018,Monday,Non-Fatal,Other
13,2018-05-28 06:55:00,2018-05-28,-1.220387,36.89118,1,0,0,0,0,6,5,2018,Monday,Non-Fatal,Other
14,2018-05-28 19:42:00,2018-05-28,-1.396656,36.941388,1,0,0,1,0,19,5,2018,Monday,Non-Fatal,Matatu
15,2018-05-29 16:33:00,2018-05-29,-1.3195655,36.8385065,1,0,0,0,0,16,5,2018,Tuesday,Non-Fatal,Other
16,2018-05-29 16:44:00,2018-05-29,-1.304899,36.82478,1,0,0,0,0,16,5,2018,Tuesday,Non-Fatal,Other
17,2018-05-29 17:18:00,2018-05-29,-1.249479,36.846988,1,0,0,0,0,17,5,2018,Tuesday,Non-Fatal,Other
18,2018-05-29 18:32:00,2018-05-29,-1.506574,37.095385,1,0,0,0,0,18,5,2018,Tuesday,Non-Fatal,Other
19,2018-05-30 06:35:00,2018-05-30,-1.25021,36.820718,1,0,0,1,0,6,5,2018,Wednesday,Non-Fatal,Matatu
20,2018-05-30 10:22:00,2018-05-30,-1.225951,36.839095,1,0,0,0,0,10,5,2018,Wednesday,Non-Fatal,Other
21,2018-05-30 17:29:00,2018-05-30,-1.274802,36.812039,1,0,0,0,0,17,5,2018,Wednesday,Non-Fatal,Other
22,2018-05-30 19:07:00,2018-05-30,-1.262799,36.879031,1,0,0,0,0,19,5,2018,Wednesday,Non-Fatal,Other
23,2018-05-31 08:51:00,2018-05-31,-1.2642666,36.74699,1,0,0,0,0,8,5,2018,Thursday,Non-Fatal,Other
24,2018-05-31 13:30:00,2018-05-31,-1.052522,37.094317,1,1,0,0,1,13,5,2018,Thursday,Fatal,Motorcycle
25,2018-05-31 17:32:00,2018-05-31,-1.292827,36.7745175,1,0,0,0,0,17,5,2018,Thursday,Non-Fatal,Other
26,2018-05-31 17:42:00,2018-05-31,-1.298367,36.802168,1,0,0,0,0,17,5,2018,Thursday,Non-Fatal,Other
27,2018-05-31 20:02:00,2018-05-31,-1.300398,36.773832,1,0,0,0,0,20,5,2018,Thursday,Non-Fatal,Other
28,2018-05-31 20:20:00,2018-05-31,-1.124653,37.003037,1,0,0,0,0,20,5,2018,Thursday,Non-Fatal,Other
