crash_id,crash_datetime,crash_date,hour,month,year,day_of_week,latitude,longitude,severity,contains_fatality_words,contains_pedestrian_words,contains_motorcycle_words,contains_matatu_words,road_user_type,n_crash_reports
1,2018-06-06 20:39:00,2018-06-06,20,6,2018,Wednesday,-1.2631315,36.7642835,Non-Fatal,0,0,0,0,Other,1
2,2018-06-30 13:36:00,2018-06-30,13,6,2018,Saturday,-1.295135,36.821932,Non-Fatal,0,0,0,0,Other,1
3,2018-05-26 07:42:00,2018-05-26,7,5,2018,Saturday,-1.3718555,36.9204565,Fatal,1,0,0,0,Other,1
4,2018-05-26 07:52:00,2018-05-26,7,5,2018,Saturday,-1.209945,36.83323,Non-Fatal,0,0,0,0,Other,1
5,2018-05-26 15:42:00,2018-05-26,15,5,2018,Saturday,-1.215468,36.850638,Non-Fatal,0,0,0,0,Other,1
6,2018-05-26 18:21:00,2018-05-26,18,5,2018,Saturday,-1.2451285,36.8673795,Non-Fatal,0,0,0,0,Other,1
7,2018-05-26 20:15:00,2018-05-26,20,5,2018,Saturday,-1.389695,36.938026,Non-Fatal,0,0,0,0,Other,1
8,2018-05-27 14:03:00,2018-05-27,14,5,2018,Sunday,-1.234781,36.8728705,Non-Fatal,0,0,0,0,Other,1
9,2018-05-27 14:04:00,2018-05-27,14,5,2018,Sunday,-1.258537,36.91659,Fatal,1,0,1,0,Motorcycle,1
10,2018-05-27 14:49:00,2018-05-27,14,5,2018,Sunday,-1.067963,37.051213,Non-Fatal,0,0,0,1,Matatu,1
11,2018-05-27 17:00:00,2018-05-27,17,5,2018,Sunday,-1.260797,36.712915,Non-Fatal,0,0,1,0,Motorcycle,1
12,2018-05-28 06:20:00,2018-05-28,6,5,2018,Monday,-1.216927,36.8941755,Non-Fatal,0,0,0,0,Other,1
13,2018-05-28 06:55:00,2018-05-28,6,5,2018,Monday,-1.220387,36.89118,Non-Fatal,0,0,0,0,Other,1
14,2018-05-28 19:42:00,2018-05-28,19,5,2018,Monday,-1.396656,36.941388,Non-Fatal,0,0,0,1,Matatu,1
15,2018-05-29 16:33:00,2018-05-29,16,5,2018,Tuesday,-1.3195655,36.8385065,Non-Fatal,0,0,0,0,Other,1
16,2018-05-29 16:44:00,2018-05-29,16,5,2018,Tuesday,-1.304899,36.82478,Non-Fatal,0,0,0,0,Other,1
17,2018-05-29 17:18:00,2018-05-29,17,5,2018,Tuesday,-1.249479,36.846988,Non-Fatal,0,0,0,0,Other,1
18,2018-05-29 18:32:00,2018-05-29,18,5,2018,Tuesday,-1.506574,37.095385,Non-Fatal,0,0,0,0,Other,1
19,2018-05-30 06:35:00,2018-05-30,6,5,2018,Wednesday,-1.25021,36.820718,Non-Fatal,0,0,0,1,Matatu,1
20,2018-05-30 10:22:00,2018-05-30,10,5,2018,Wednesday,-1.225951,36.839095,Non-Fatal,0,0,0,0,Other,1
21,2018-05-30 17:29:00,2018-05-30,17,5,2018,Wednesday,-1.274802,36.812039,Non-Fatal,0,0,0,0,Other,1
22,2018-05-30 19:07:00,2018-05-30,19,5,2018,Wednesday,-1.262799,36.879031,Non-Fatal,0,0,0,0,Other,1
23,2018-05-31 08:51:00,2018-05-31,8,5,2018,Thursday,-1.2642666,36.74699,Non-Fatal,0,0,0,0,Other,1
24,2018-05-31 13:30:00,2018-05-31,13,5,2018,Thursday,-1.052522,37.094317,Fatal,1,0,1,0,Motorcycle,1
25,2018-05-31 17:32:00,2018-05-31,17,5,2018,Thursday,-1.292827,36.7745175,Non-Fatal,0,0,0,0,Other,1
26,2018-05-31 17:42:00,2018-05-31,17,5,2018,Thursday,-1.298367,36.802168,Non-Fatal,0,0,0,0,Other,1
27,2018-05-31 20:02:00,2018-05-31,20,5,2018,Thursday,-1.300398,36.773832,Non-Fatal,0,0,0,0,Other,1
28,2018-05-31 20:20:00,2018-05-31,20,5,2018,Thursday,-1.124653,37.003037,Non-Fatal,0,0,0,0,Other,1
29,2018-05-31 22:46:00,2018-05-31,22,5,2018,Thursday,-1.261998,36.84,Non-Fatal,0,0,0,0,Other,1
30,2018-05-31 22:57:00,2018-05-31,22,5,2018,Thursday,-1.256093,36.855982,Non-Fatal,0,0,0,0,Other,1
31,2018-06-01 06:50:00,2018-06-01,6,6,2018,Friday,-1.3632275,36.7648435,Non-Fatal,0,0,0,0,Other,1
32,2018-06-01 09:33:00,2018-06-01,9,6,2018,Friday,-0.983177,36.632307,Non-Fatal,0,0,0,0,Other,1
33,2018-06-01 11:47:00,2018-06-01,11,6,2018,Friday,-1.296993,36.875598,Non-Fatal,0,0,0,0,Other,1
34,2018-06-01 11:59:00,2018-06-01,11,6,2018,Friday,-0.940662,36.620393,Non-Fatal,0,0,0,0,Other,1
35,2018-06-01 12:01:00,2018-06-01,12,6,2018,Friday,-0.804494,36.531555,Non-Fatal,0,0,0,0,Other,1
36,2018-06-01 16:13:00,2018-06-01,16,6,2018,Friday,-1.2881165,36.818796,Non-Fatal,0,1,0,0,Pedestrian,1
37,2018-06-01 18:39:00,2018-06-01,18,6,2018,Friday,-1.296362,36.883496,Non-Fatal,0,0,0,0,Other,1
38,2018-06-02 07:46:00,2018-06-02,7,6,2018,Saturday,-1.2666115,36.8344265,Non-Fatal,0,0,0,1,Matatu,1
39,2018-06-02 12:37:00,2018-06-02,12,6,2018,Saturday,-1.275757,36.8228905,Non-Fatal,0,0,0,0,Other,1
40,2018-06-02 16:45:00,2018-06-02,16,6,2018,Saturday,0.491426,35.27037,Non-Fatal,0,0,0,0,Other,1
41,2018-06-02 19:14:00,2018-06-02,19,6,2018,Saturday,-1.207233,36.911888,Non-Fatal,0,0,0,0,Other,1
42,2018-06-02 19:51:00,2018-06-02,19,6,2018,Saturday,-1.213711,36.899673,Non-Fatal,0,0,0,0,Other,1
43,2018-06-02 21:04:00,2018-06-02,21,6,2018,Saturday,-1.220088,36.892,Non-Fatal,0,0,0,0,Other,1
44,2018-06-03 00:25:00,2018-06-03,0,6,2018,Sunday,-1.289163,36.811719,Non-Fatal,0,0,0,0,Other,1
45,2018-06-03 06:29:00,2018-06-03,6,6,2018,Sunday,-1.3442335,36.666157,Non-Fatal,0,0,0,1,Matatu,1
46,2018-06-03 14:13:00,2018-06-03,14,6,2018,Sunday,-1.288932,36.839907,Non-Fatal,0,0,0,0,Other,1
47,2018-06-03 18:14:00,2018-06-03,18,6,2018,Sunday,-1.2693285,36.805776,Non-Fatal,0,0,0,0,Other,1
48,2018-06-03 20:14:00,2018-06-03,20,6,2018,Sunday,-1.364719,36.911405,Non-Fatal,0,0,0,0,Other,1
49,2018-06-03 22:15:00,2018-06-03,22,6,2018,Sunday,-1.097772,36.627076,Non-Fatal,0,0,0,0,Other,1
50,2018-06-04 01:54:00,2018-06-04,1,6,2018,Monday,-1.355691,36.657324,Non-Fatal,0,0,0,0,Other,1
51,2018-06-04 01:55:00,2018-06-04,1,6,2018,Monday,-1.217267,36.8929095,Non-Fatal,0,0,0,0,Other,1
52,2018-06-04 05:45:00,2018-06-04,5,6,2018,Monday,-1.396243,36.745543,Non-Fatal,0,0,0,0,Other,1
53,2018-06-04 06:54:00,2018-06-04,6,6,2018,Monday,-1.29374,36.795907,Non-Fatal,0,0,1,0,Motorcycle,1
54,2018-06-04 11:32:00,2018-06-04,11,6,2018,Monday,-1.2612255,36.8739765,Non-Fatal,0,0,0,1,Matatu,1
55,2018-06-04 12:23:00,2018-06-04,12,6,2018,Monday,-1.148514,36.961087,Non-Fatal,0,0,0,0,Other,1
